GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01000","Alabama",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",52742568,55189942,57239267,58650321,60175123,62193386,65590703,69328192,73732100,77268978,79137577,76306324,77298137,78941778,81166884,82339334,85163867,88370650,90544498,93923424,97873235
 "01000","Alabama",5,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",126807,117308,128507,168354,161977,134857,179046,159510,165981,186441,168864,170293,174999,149727,201107,146828,124584,171207,140357,134074,145203
 "01000","Alabama",5,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",52615761,55072634,57110760,58481967,60013146,62058529,65411657,69168682,73566119,77082537,78968713,76136031,77123138,78792051,80965777,82192506,85039283,88199443,90404141,93789350,97728032
 "01000","Alabama",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",41979512,43997806,45628317,46572804,47446831,48824710,51647442,54783437,58381102,60865546,61977850,58691724,59399150,60891564,63247323,64514133,66942447,69848306,71669359,74515546,77928367
 "01000","Alabama",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",258803,255507,261718,(D),251943,254511,262161,265121,264423,269239,270199,250885,279192,274907,286110,297763,313606,327598,341244,344765,360419
 "01000","Alabama",5,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",168181,163278,161148,(D),152813,156009,159952,161172,162296,163657,158232,143268,164570,162088,163358,169543,178511,185892,190553,186601,190720
 "01000","Alabama",5,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),1288,1818,1428,991,1113,1020,1082,1118,1272,1548,2408,1991,1887,1988,1768,1555,1554,1505,2021
 "01000","Alabama",5,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",89186,90720,99282,98672,97702,97511,101096,102929,101045,104464,110695,106069,112214,110828,120865,126232,133327,140151,149137,156659,167678
 "01000","Alabama",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",480726,454425,408861,406050,411807,392543,402414,473278,487403,505717,555807,528282,578001,643269,656052,623383,609761,549322,377307,464336,532751
 "01000","Alabama",5,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",32358,32447,36010,41871,39022,47548,42425,47381,55249,64750,68932,70136,74037,76155,76053,74236,75655,48649,46912,49504,50865
