GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05000","Arkansas",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",28569246,30163014,31830512,32970649,33873394,35118617,37224027,39076554,41363015,43531570,44463825,44017724,44757777,46289381,47879652,48798769,50466679,52427495,53881013,55877501,57699505
 "05000","Arkansas",5,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",237955,242217,240063,259281,254499,258307,280157,231483,224275,235402,258738,220723,238418,208301,264245,287081,243861,283931,306803,240019,261692
 "05000","Arkansas",5,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",28331291,29920797,31590449,32711368,33618895,34860310,36943870,38845071,41138740,43296168,44205087,43797001,44519359,46081080,47615407,48511688,50222818,52143564,53574210,55637482,57437813
 "05000","Arkansas",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",23377146,24741655,26134393,26971519,27559041,28404906,30075615,31464303,33356427,35202044,35750972,34959853,35588186,37028051,38504394,39312163,40953482,42749185,44076380,45983676,47552891
 "05000","Arkansas",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",197152,206799,210917,220203,222971,218287,226289,231436,237809,238158,241522,230184,251993,249139,262506,267460,281226,293502,311422,317662,329018
 "05000","Arkansas",5,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",95355,101008,100134,95227,(D),100115,(D),101420,(D),(D),89844,76690,88571,82249,(D),(D),(D),(D),105453,102853,110905
 "05000","Arkansas",5,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),335,(D),445,(D),323,(D),(D),434,462,520,547,(D),(D),(D),(D),773,617,481
 "05000","Arkansas",5,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",101070,105118,110248,124641,123233,117727,130258,129693,141076,142442,151244,153032,162902,166343,175809,179037,186760,193193,205196,214192,217632
 "05000","Arkansas",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",121890,117582,121805,148792,140186,147326,166527,191305,259848,375323,507659,525335,549729,607911,586212,521059,481621,415769,275439,249573,257405
 "05000","Arkansas",5,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",15295,13813,14605,17275,16761,17999,18612,21115,24934,43825,67737,100863,111294,130664,150015,141049,130042,119861,87138,61938,58214
 "05000","Arkansas",5,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",68595,71315,66931,74115,76159,75690,82638,85165,92746,96432,105558,93549,102666,108541,104094,96870,89994,89877,89049,95894,103003
 "05000","Arkansas",5,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",38000,32454,40269,57402,47266,53637,65277,85025,142168,235066,334364,330923,335769,368706,332103,283140,261585,206031,99252,91741,96188
 "05000","Arkansas",5,SAINC7N,300,"22","   Utilities","Thousands of dollars",354384,351487,359110,371211,378867,390615,409750,427814,439394,472446,503265,510389,523677,537224,591564,639838,653188,665474,665390,688624,720443
 "05000","Arkansas",5,SAINC7N,400,"23","   Construction","Thousands of dollars",1287722,1408452,1546750,1628181,1724068,1605703,1701354,1872138,2030240,2134371,2281512,2160240,2024492,1983245,2059319,1944492,2044216,2272550,2405624,2528920,2550380
