GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "93000","Great Lakes",3,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",703086091,742124523,782688148,791356051,798465052,815013711,847209312,872202124,906394235,939450265,949757612,894027355,908796720,948859921,989410351,1011665222,1054372023,1103421455,1130530761,1173809223,1220471737
 "93000","Great Lakes",3,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",1974213,1823273,1968373,2003073,2029179,2075498,2335973,2115192,2013300,2718508,2477592,2456822,2140206,2393631,2855681,2740751,2935006,2907025,3273562,2835247,3149392
 "93000","Great Lakes",3,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",701111878,740301250,780719775,789352978,796435873,812938213,844873339,870086932,904380935,936731757,947280020,891570533,906656514,946466290,986554670,1008924471,1051437017,1100514430,1127257199,1170973976,1217322345
 "93000","Great Lakes",3,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",604755199,639713427,674168450,678284587,679549413,692031205,720155746,741948089,773098354,801387914,806937032,747622685,761363896,801934624,840960365,862704292,903454183,949416716,974019203,1013943495,1055514069
 "93000","Great Lakes",3,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",429553,437114,451654,482316,472924,489641,520274,536571,546853,583534,620353,625101,654301,673508,727960,768924,898378,950029,1018281,1064334,1112365
 "93000","Great Lakes",3,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",103051,103271,105174,(D),106431,106601,112728,114648,111467,107910,106254,95539,103031,(D),(D),(D),113656,(D),(D),(D),141531
 "93000","Great Lakes",3,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",11537,12585,13283,(D),10782,9090,8874,8654,8918,9430,9677,9964,11529,(D),(D),(D),10133,(D),(D),(D),10893
 "93000","Great Lakes",3,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",314965,321258,333197,364719,355711,373950,398672,413269,426468,466194,504422,519598,539741,561193,610900,650071,774589,811124,873138,918029,959941
 "93000","Great Lakes",3,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1845899,1854200,1811886,1878249,1803413,1774304,1870677,1986094,2121674,2200560,2251991,2134325,2277184,2450646,2651713,2593836,2980200,2784456,2386302,2469902,2655429
 "93000","Great Lakes",3,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",179583,197629,189121,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "93000","Great Lakes",3,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",1497046,1499878,1451735,1472173,1394758,1366937,1410911,1490543,1545980,1559870,1545114,1471234,1588945,1671254,1738104,1759980,1888446,1815355,1628283,1633275,1734201
 "93000","Great Lakes",3,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",169270,156693,171030,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "93000","Great Lakes",3,SAINC7N,300,"22","   Utilities","Thousands of dollars",6253557,6493168,6765556,6878755,6745927,6615361,6678339,6992165,7274017,7611168,8077937,8130661,7998881,8294681,8518271,8625894,8901940,9290928,9309918,9629024,9857891
 "93000","Great Lakes",3,SAINC7N,400,"23","   Construction","Thousands of dollars",35449634,38727486,41833527,43069999,43209026,43193900,44234264,45386908,47175225,48116743,47613478,40224260,37790073,39229893,40662785,42208770,45375416,49101974,51773628,55841247,58289040
 "93000","Great Lakes",3,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",8191380,8952964,9629790,9987263,10278532,10354790,10668397,11038416,11308026,11265707,11020760,9077986,8783167,8869327,8810433,9059510,9818363,10520796,11294000,12038512,12970928
 "93000","Great Lakes",3,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",4561778,4959924,5429460,5517030,5437195,5545669,5630062,5900762,6315985,6732500,7065180,6599493,5840401,6107260,6423945,6977952,7588061,8248763,8181091,9364311,9300369
 "93000","Great Lakes",3,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",22696476,24814598,26774277,27565706,27493299,27293441,27935805,28447730,29551214,30118536,29527538,24546781,23166505,24253306,25428407,26171308,27968992,30332415,32298537,34438424,36017743
 "93000","Great Lakes",3,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",167998700,173806755,177550624,167466210,161493583,161232210,164185503,164856868,167866023,168638040,163745587,138850417,143701697,153995417,161202429,164113120,172012808,178824443,179826316,186184423,193969993
 "93000","Great Lakes",3,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",122334364,126503336,129264977,120117845,114257492,113873312,116121071,116601356,119054020,119109560,114270148,92737245,95919805,105052586,110738536,112222742,117420094,121440011,121515546,125863275,131624543
 "93000","Great Lakes",3,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",2686975,2869673,2905025,2748103,2692850,2711525,2806610,2826685,2802498,2660215,2420175,1902197,1834965,1886268,1958114,2067579,2256079,2434354,2527474,2679696,2804757
 "93000","Great Lakes",3,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",4359036,4602387,4744760,4542261,4438244,4376308,4372806,4452331,4507683,4379004,4124307,3535083,3616836,3721967,3762573,3903919,4100796,4292219,4467712,4675551,4854527
 "93000","Great Lakes",3,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",11532259,11558070,11556941,10492430,9575050,9529131,9845527,9925770,10182925,10059802,9882872,7274938,7968909,8953441,9361018,9291463,9724991,9621481,9190755,9484949,10048116
 "93000","Great Lakes",3,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",18977127,19439951,20142478,18910570,18233669,18090197,19035207,19579960,20404028,21002526,20995919,16984547,17981513,19906358,21102614,20884306,22050798,22432667,22024965,22890141,24038441
 "93000","Great Lakes",3,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",22186015,22189928,22128802,20180834,18393600,18057398,18995776,20026700,20920033,21184593,21561391,17958545,18458439,20773385,22312073,22079244,23082763,23256288,22718540,23425045,24881657
 "93000","Great Lakes",3,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",8742997,8541489,8912690,8381795,7421613,7090837,7081450,7281387,7504041,7783480,8037906,7166667,7225774,7426629,7391181,7443283,7386611,7700923,7654875,7780368,7972364
 "93000","Great Lakes",3,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",6215973,6384457,6556873,6153991,5888420,5742887,5801658,5736135,5923591,5872710,5948641,5162051,5374462,5700011,5868325,6225745,6255670,6485080,6429480,6744996,6771466
 "93000","Great Lakes",3,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",35001971,38016367,38882451,35425473,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),29349557,(D),(D),(D)
 "93000","Great Lakes",3,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",3246881,3326889,3453464,3401628,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4173057,(D),(D),(D)
 "93000","Great Lakes",3,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",4271752,4410869,4608375,4481124,4210855,4118137,4204829,4262752,4324034,4478686,4314909,3572333,3507524,3632650,3720950,3878719,4084246,4288194,4505441,4712215,4787473
 "93000","Great Lakes",3,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",5113378,5163256,5373118,5399636,5425250,5470375,5721385,5825419,5976267,6219020,6404851,5982299,6137973,6321071,6742072,6716778,6844729,7406191,7602321,7840886,8175649
 "93000","Great Lakes",3,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",45664336,47303419,48285647,47348365,47236091,47358898,48064432,48255512,48812003,49528480,49475439,46113172,47781892,48942831,50463893,51890378,54592714,57384432,58310770,60321148,62345450
 "93000","Great Lakes",3,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",8982585,9334997,9653800,9904663,10192550,10304889,10327670,10521743,10617507,10997204,11316108,11537278,11829167,12096441,12587138,12866817,13631063,14270179,14788782,15554979,16048564
 "93000","Great Lakes",3,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",1056840,1088193,1101330,1142134,1175116,1101113,1186938,1175993,1174209,1224104,1231406,1104567,1117038,1117993,1125502,1166037,1220773,1351668,1509248,1597598,1631453
 "93000","Great Lakes",3,SAINC7N,533,"313","     Textile mills","Thousands of dollars",327114,327722,322205,293165,298138,302901,311647,311502,313155,310651,298127,259336,264931,284352,291453,295640,297712,292523,283984,292224,300156
 "93000","Great Lakes",3,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",490206,509608,539125,516631,529583,512001,497956,501261,506918,496373,460414,386014,397791,415636,427479,432723,457897,479911,477965,502278,519625
 "93000","Great Lakes",3,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",486161,461381,454846,429236,420286,397111,367219,363739,368018,348878,322949,277795,268666,289559,298039,287853,321386,352009,363361,359100,383942
 "93000","Great Lakes",3,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",353150,353315,333730,331409,224218,205253,207094,198293,191539,184590,203187,179043,194525,187707,193871,202308,219336,279546,235729,222819,209295
 "93000","Great Lakes",3,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",6324065,6408791,6498778,6141214,6088341,5896716,5817962,5800776,5736256,5776297,5708418,5207582,5298065,5362280,5389839,5437632,5612058,5757925,5783590,5853321,5965926
 "93000","Great Lakes",3,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",6402300,6509976,6688273,6383174,6155146,6135911,6167962,6197953,6297596,6329824,6063242,5308936,5131247,5109567,5123264,5134669,5200078,5310309,5476124,5512662,5672749
 "93000","Great Lakes",3,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",997407,1086203,1047703,1076365,1035920,1024423,1017620,1080396,1125010,1194962,1247643,1272073,1289952,1337745,1436244,1500873,1621638,1655002,1692528,1688974,1798266
 "93000","Great Lakes",3,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",10778899,11143416,11272738,11589985,11600791,11949477,12366268,12344899,12576246,13133899,13353173,12589484,13368338,13835989,14259420,14862013,15756944,16857499,16507933,16963363,17715597
 "93000","Great Lakes",3,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",9465609,10079817,10373119,9540389,9516002,9529103,9796096,9758957,9905549,9531698,9270772,7991064,8622172,8905562,9331644,9703813,10253829,10777861,11191526,11773830,12099877
 "93000","Great Lakes",3,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",42474071,45060356,47984136,47973351,47422222,47989993,50219948,52491185,55439588,58284345,59222917,54395030,55254034,58584695,61391940,62764581,65610802,68196822,69169109,71645850,73023542
 "93000","Great Lakes",3,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",48859799,51759764,54659498,55426945,55963404,56413101,57318779,57389202,58191949,59503983,58574842,55759079,56129667,57700814,59289604,60290314,62229986,65337113,66866992,68670062,69976151
 "93000","Great Lakes",3,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",9542510,10289798,10507154,10963008,11161084,11159635,11216083,11180559,11044592,11156741,10795192,9796400,10159065,10881507,11278162,11748267,12648051,13520415,13789673,14149067,14516228
 "93000","Great Lakes",3,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",2057085,2210191,2358360,2312137,2349124,2385454,2427981,2426108,2421082,2369203,2170030,1821858,1766903,1791582,1823933,1863341,1944660,2108436,2215921,2311209,2317351
 "93000","Great Lakes",3,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",2689864,3081707,3430296,3302002,3149782,2908292,2927361,2996021,3096484,3395137,3160526,2875306,2961894,3132607,3174289,3127790,3070507,3388283,3450128,3544745,3549017
 "93000","Great Lakes",3,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",4616432,4881768,5225570,5228158,5237932,5425317,5744402,5765599,5837619,5779484,5583041,5279109,5207258,5314948,5440164,5592931,5748567,6118875,6248703,6444979,6663222
 "93000","Great Lakes",3,SAINC7N,705,"445","    Food and beverage stores","Thousands of dollars",7068016,7252290,7528666,7870385,8038966,8217987,8189595,8074449,8182198,8302537,8444829,8412018,8360613,8442856,8605646,8637913,8794766,9143327,9276833,9538107,9672226
