GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",87044130,91587831,95775772,96496186,97991272,100505583,105572465,108663077,113129738,116694686,118218938,111453201,114358549,119136930,124641790,127532806,132284372,138737459,142867716,149651139,155661247
 "18000","Indiana",3,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",249802,236256,234085,255992,240025,271609,300583,285845,266011,313105,284972,316334,330589,314641,372127,387131,408815,335833,346607,394304,448153
 "18000","Indiana",3,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",86794328,91351575,95541687,96240194,97751247,100233974,105271882,108377232,112863727,116381581,117933966,111136867,114027960,118822289,124269663,127145675,131875557,138401626,142521109,149256835,155213094
 "18000","Indiana",3,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",75560171,79585214,83050447,83357987,84294108,86166715,90613569,93236581,97331097,100307032,101096513,93808662,96653301,101563034,106935155,109783201,114315156,120447577,124110176,130429345,135789924
 "18000","Indiana",3,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",53187,56030,57809,57589,53883,57955,64415,66216,71530,76514,68071,68271,73547,73195,79292,84507,119740,123253,136958,137921,145620
 "18000","Indiana",3,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",8147,8998,9363,(D),10413,10779,12520,13176,12581,13420,11813,9671,10299,(D),(D),(D),9724,(D),(D),(D),12822
 "18000","Indiana",3,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),608,620,565,383,358,312,331,348,249,(D),(D),(D),404,(D),(D),(D),100
 "18000","Indiana",3,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",43811,45761,47166,46357,42862,46556,51330,52657,58591,62782,55927,58252,62999,64772,70706,75345,109612,110867,124042,124717,132698
 "18000","Indiana",3,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",324767,318568,326097,314317,320637,322001,337295,338717,370140,388470,383790,371684,392505,427740,439126,456717,483832,455398,407251,417967,428866
 "18000","Indiana",3,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",4213,3921,3819,4167,3305,3502,3861,4021,5037,9646,7599,7483,10952,11712,15260,15001,16954,15727,13307,8126,8820
 "18000","Indiana",3,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",315920,310423,318387,304680,311202,313357,326863,326429,359394,370272,363016,352684,369283,401043,405264,414768,432432,411106,368374,376711,393050
 "18000","Indiana",3,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),5470,6130,5142,6571,8267,5709,8552,13175,11517,12270,14985,18602,26948,34446,28565,25570,33130,26996
 "18000","Indiana",3,SAINC7N,300,"22","   Utilities","Thousands of dollars",844493,855496,873759,896013,891611,896078,937237,975633,1025515,1043257,1129777,1169056,1187201,1213300,1216162,1252816,1278130,1325074,1309954,1340820,1405710
 "18000","Indiana",3,SAINC7N,400,"23","   Construction","Thousands of dollars",5093113,5277550,5497589,5691121,5742292,5879185,6141030,6340290,6636226,7064833,7121957,5946223,6005642,6462375,7062679,6888877,6728851,7122939,7525528,8225697,8585891
 "18000","Indiana",3,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",1337280,1435078,1466965,1548716,1572567,1654593,1700333,1728218,1816458,1926150,1859358,1455418,1535118,1600683,1741267,1644950,1628193,1714546,1797269,1926185,2062108
 "18000","Indiana",3,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",709032,736819,789436,770662,766804,787064,841118,854140,902042,990051,1065163,1055881,1007647,1144434,1188663,1096086,1080381,1135934,1204586,1347916,1329105
 "18000","Indiana",3,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",3046801,3105653,3241188,3371743,3402921,3437528,3599579,3757932,3917726,4148632,4197436,3434924,3462877,3717258,4132749,4147841,4020277,4272459,4523673,4951596,5194678
 "18000","Indiana",3,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",26359931,27701113,28062178,26354063,26333247,26579946,27861260,28179169,28966744,28835208,28039297,23908934,25121671,26497043,27987466,28584589,30210558,31654129,31947909,33717167,35077899
 "18000","Indiana",3,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",19722435,20769729,21172857,19548663,19534628,19753337,20661366,20873799,21331129,21175145,20157937,16531932,17396756,18738310,20076575,20212920,21370013,22574835,22665877,24000291,25212004
 "18000","Indiana",3,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",700462,767167,741479,664462,658141,651666,679550,695305,666924,619342,543485,412714,388427,410054,447955,461609,496757,547202,581882,633098,654552
 "18000","Indiana",3,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",640837,679779,693219,674373,676972,679014,692350,701474,701455,698827,648793,554363,571925,599034,634922,683008,721108,764068,767855,785429,826075
 "18000","Indiana",3,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",3353734,3343444,3351512,3090155,2912195,2961771,3010869,3030841,3046448,3092554,3238821,2508333,2702246,3021533,3229349,3184762,3344223,3345210,3206931,3257799,3532031
 "18000","Indiana",3,SAINC7N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",2291926,2379949,2479903,2327301,2223544,2168473,2279091,2383670,2476640,2528748,2493976,2025049,2180106,2434685,2587032,2634995,2833545,2958293,2998142,3190335,3363703
 "18000","Indiana",3,SAINC7N,515,"333","     Machinery manufacturing","Thousands of dollars",2389177,2442662,2462115,2229008,2111658,2074850,2221695,2326849,2443123,2474050,2612675,2114118,2147603,2391766,2626613,2623248,2752833,2872514,2797174,2886052,3203035
 "18000","Indiana",3,SAINC7N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",1141240,1105434,1126424,1079644,1039562,1010155,1034016,1038677,1141205,1072910,1134846,1013590,1015818,1015246,976585,950890,946240,976625,953710,936478,944639
 "18000","Indiana",3,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",830089,817064,805193,709429,666018,621180,637300,621062,587854,524884,490615,430499,431045,396787,398470,427219,436891,447422,470411,483100,495869
 "18000","Indiana",3,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",5850066,6646180,6782998,6058660,6449713,6659029,6997297,6853785,6946491,6726513,5655758,4429200,4848328,5131296,5694409,5894287,6384053,6805548,7286484,8057019,8286299
 "18000","Indiana",3,SAINC7N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",660497,693368,713876,688403,640239,679722,721336,773460,840178,863798,832071,716033,690773,807170,834950,864246,842588,816048,787131,846168,893192
 "18000","Indiana",3,SAINC7N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",812144,848600,896568,869806,867326,876228,925349,930404,954335,959751,870818,718220,738808,770663,818738,896286,946281,1007728,1071716,1132544,1126230
 "18000","Indiana",3,SAINC7N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1052263,1046082,1119570,1157422,1289260,1371249,1462513,1518272,1526476,1613768,1636079,1609813,1681677,1760076,1827552,1592370,1665494,2034177,1744441,1792269,1886379
 "18000","Indiana",3,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",6637496,6931384,6889321,6805400,6798619,6826609,7199894,7305370,7635615,7660063,7881360,7377002,7724915,7758733,7910891,8371669,8840545,9079294,9282032,9716876,9865895
 "18000","Indiana",3,SAINC7N,531,"311","     Food manufacturing","Thousands of dollars",960951,990787,1006879,1032542,1070055,1110413,1125477,1149238,1170434,1249968,1314877,1360206,1391800,1443069,1474095,1477553,1679777,1824175,1873641,1975642,2008479
 "18000","Indiana",3,SAINC7N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",139073,148958,152188,139713,141828,149270,154943,159857,165824,166918,157011,162342,174373,166249,166058,173414,190005,207059,222931,238200,253858
 "18000","Indiana",3,SAINC7N,533,"313","     Textile mills","Thousands of dollars",16233,19201,20953,16236,17058,14844,16188,17878,19395,25065,25354,19778,21933,21847,23947,25257,27867,22718,24659,27357,29519
 "18000","Indiana",3,SAINC7N,534,"314","     Textile product mills","Thousands of dollars",103599,106315,104918,92951,94163,95025,100934,105030,101845,98081,92755,80956,92999,101414,104555,101375,110373,108794,111177,123231,132390
 "18000","Indiana",3,SAINC7N,535,"315","     Apparel manufacturing","Thousands of dollars",49278,45971,48014,43099,37961,38590,39663,37722,43095,41088,33649,27434,25477,25430,28070,27480,27079,31471,28775,28459,29306
 "18000","Indiana",3,SAINC7N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",25334,20196,15764,15341,13744,12340,13187,14165,18365,23630,29070,29861,53307,39556,45300,45602,44400,42128,41895,37057,27771
 "18000","Indiana",3,SAINC7N,537,"322","     Paper manufacturing","Thousands of dollars",517324,495622,503431,507219,511808,501167,521052,527510,531923,542132,524170,491425,499409,519524,503304,500681,524178,537125,541979,571024,581931
 "18000","Indiana",3,SAINC7N,538,"323","     Printing and related support activities","Thousands of dollars",782168,790418,786222,747152,730463,715233,725729,724957,736830,752044,748125,683185,673396,664457,659888,660762,660161,670130,677773,686616,674514
 "18000","Indiana",3,SAINC7N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",201425,210819,192801,198332,209526,220586,224759,238513,269851,295802,308851,315666,320497,338103,364278,377732,398413,389063,403910,407004,413011
 "18000","Indiana",3,SAINC7N,541,"325","     Chemical manufacturing","Thousands of dollars",2398299,2533537,2434628,2424425,2380209,2387550,2635827,2659307,2779201,2835852,3073318,2848874,3032668,2912335,2918428,3306540,3378932,3387539,3392700,3526839,3602143
 "18000","Indiana",3,SAINC7N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",1443812,1569560,1623523,1588390,1591804,1581591,1642135,1671193,1798852,1629483,1574180,1357275,1439056,1526749,1622968,1675273,1799360,1859092,1962592,2095447,2112973
 "18000","Indiana",3,SAINC7N,600,"42","   Wholesale trade","Thousands of dollars",4673115,4914279,5228903,5260974,5275571,5353940,5651583,5941099,6325916,6666753,6779918,6184950,6285069,6575781,6822664,7002162,7329566,7706468,7829484,8117486,8290640
 "18000","Indiana",3,SAINC7N,700,"44-45","   Retail trade","Thousands of dollars",6426587,6725441,7018475,7179334,7237120,7328805,7503503,7559113,7691339,7782184,7686450,7404750,7494650,7688281,7969640,8120807,8405844,8779808,9103791,9240451,9465787
 "18000","Indiana",3,SAINC7N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",1286499,1380972,1397692,1453790,1479756,1499841,1539733,1538800,1545486,1571149,1478080,1346718,1415700,1517889,1594627,1644214,1755994,1877752,1919960,1981111,2066902
 "18000","Indiana",3,SAINC7N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",249612,269725,282830,277603,272367,279238,288310,299779,314259,312027,289531,239954,237297,243695,251499,259738,266312,284570,298196,317928,328480
 "18000","Indiana",3,SAINC7N,703,"443","    Electronics and appliance stores","Thousands of dollars",291041,301635,327723,310811,292332,300440,305639,323495,306399,289007,307100,285811,336012,326357,319051,276422,282281,365169,382285,364563,343213
 "18000","Indiana",3,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",682790,724681,766861,763550,780355,801528,832755,866759,907952,913785,870902,820294,823433,855874,884626,922976,955472,966141,988099,1014836,1046965
