GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "20000","Kansas",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",37317819,39438463,41766878,43269734,43875159,44488560,46702068,48537956,52083584,55442368,57623385,55605578,56089711,58104706,60616457,61872023,64457652,66703987,67187661,68679825,71392733
 "20000","Kansas",4,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",309675,285481,312808,345394,311277,329580,371694,316067,332556,452338,426217,359311,343503,419385,468875,380745,484931,443314,514250,447132,472259
 "20000","Kansas",4,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",37008144,39152982,41454070,42924340,43563882,44158980,46330374,48221889,51751028,54990030,57197168,55246267,55746208,57685321,60147582,61491278,63972721,66260673,66673411,68232693,70920474
 "20000","Kansas",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",30276656,32093196,33999221,35183391,35426040,35734666,37452060,39085986,41970650,44581643,46223197,43879271,44157168,45990811,48412486,49706347,52031721,54125869,54368835,55774695,58003552
 "20000","Kansas",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",54259,56771,59727,61625,63363,65773,68764,73464,74902,76995,83369,88745,97822,100902,110832,119094,126209,136809,147045,145592,156471
 "20000","Kansas",4,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),(D),(D),(D),221,(D),(D),(D),(D),(D),(D),(D),(D),154,192,85,(D),(D),116
 "20000","Kansas",4,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),387,(D),(D),(D),(D),(D),(D),(D),(D),697,837,855,(D),(D),654
 "20000","Kansas",4,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",51101,52642,54752,61167,62763,65271,68156,72867,74271,76163,82574,88002,97089,100163,110093,118243,125180,135869,146201,144942,155701
 "20000","Kansas",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",233639,218541,242537,275177,241284,260798,300125,340275,424131,463022,524424,409871,434514,495757,570011,585887,622321,477916,381802,375020,399625
 "20000","Kansas",4,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",104701,87780,103338,100097,93471,99676,98180,105282,125146,137821,163588,139311,142497,166376,180886,177014,180599,170912,157227,132069,139806
 "20000","Kansas",4,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",45266,45479,47021,58353,43969,47011,50079,53683,57602,55404,58886,57497,61526,60746,60131,64582,71838,83814,82767,83931,86490
 "20000","Kansas",4,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",83672,85282,92178,116727,103844,114111,151866,181310,241383,269797,301950,213063,230491,268635,328994,344291,369884,223190,141808,159020,173329
 "20000","Kansas",4,SAINC7N,300,"22","   Utilities","Thousands of dollars",385012,410572,412390,462626,468910,430436,461111,484565,500394,536690,571283,604691,618438,708893,678292,683478,694405,614264,625315,630133,651061
 "20000","Kansas",4,SAINC7N,400,"23","   Construction","Thousands of dollars",1886568,2082562,2217223,2276347,2257333,2266514,2314688,2452313,2655214,2826620,2959339,2638613,2555967,2498279,2722912,2844130,3095634,3241288,3301715,3325090,3495683
