GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",38191567,39820646,42486440,44622573,45163471,46229981,48461585,51103311,56331289,59591186,63295061,61158965,62362798,66167722,70150020,72301874,75566564,76927805,75540052,77987461,81865812
 "40000","Oklahoma",6,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",167828,191816,184560,207706,146711,173629,243545,233013,223590,316365,344086,260158,258198,281011,347747,284093,315806,192066,213265,211847,196524
 "40000","Oklahoma",6,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",38023739,39628830,42301880,44414867,45016760,46056352,48218040,50870298,56107699,59274821,62950975,60898807,62104600,65886711,69802273,72017781,75250758,76735739,75326787,77775614,81669288
 "40000","Oklahoma",6,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",29734267,30905772,32991115,34546214,34583363,35336766,37047254,39080593,43577999,45940726,48950672,46233767,47133229,50943008,54658373,56657714,59587427,60668275,59018001,61295925,64613267
 "40000","Oklahoma",6,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",54133,58702,63596,62558,66586,72760,79698,85538,88660,91166,93534,91387,96652,95551,99262,106894,116988,125654,138639,148832,159995
 "40000","Oklahoma",6,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",7606,8676,9244,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",45834,49409,53902,54247,56000,62911,71188,76216,80445,83424,85220,83891,87558,86993,90213,98276,107483,115584,128303,137967,148903
 "40000","Oklahoma",6,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1386439,1322229,1393055,1629777,1549864,1733735,1931894,2349880,3640407,3676788,4390564,3458071,3664388,4833273,5330353,5656189,5927391,5520322,4268349,4863585,5467317
 "40000","Oklahoma",6,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",891142,812560,818488,891223,869320,969608,1056884,1239260,2119400,1836030,2170171,1852349,1928161,2506722,2883507,3080908,3109059,3360004,2669197,2611984,2701024
 "40000","Oklahoma",6,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",65007,68169,78977,73640,79017,76218,77979,89041,96814,111458,105452,90694,90478,95218,103187,107525,114193,119348,126699,134675,141743
 "40000","Oklahoma",6,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",430290,441500,495590,664914,601527,687909,797031,1021579,1424193,1729300,2114941,1515028,1645749,2231333,2343659,2467756,2704139,2040970,1472453,2116926,2624550
 "40000","Oklahoma",6,SAINC7N,300,"22","   Utilities","Thousands of dollars",443220,453630,492583,586949,598298,583682,605410,646840,684158,828960,847153,919022,896380,927694,1080117,1129767,1374452,1207943,1132517,1085537,1080119
 "40000","Oklahoma",6,SAINC7N,400,"23","   Construction","Thousands of dollars",1585111,1749125,1900322,2128377,2045306,2060903,2054856,2259142,2566536,2729891,3100564,2859118,2896242,2973179,3229421,3601437,3721135,3942734,4015150,4093954,4431790
 "40000","Oklahoma",6,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",332483,373464,408031,472797,525622,473139,453632,500821,571599,613413,695174,625070,634935,615686,611683,662760,662891,728400,813528,723035,735517
 "40000","Oklahoma",6,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",312688,350183,383808,467723,404539,390406,379429,427166,473579,509472,565063,561388,603521,629920,744042,935025,923215,913539,914733,1060124,1200434
 "40000","Oklahoma",6,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",939940,1025478,1108483,1187857,1115145,1197358,1221795,1331155,1521358,1607006,1840327,1672660,1657786,1727573,1873696,2003652,2135029,2300795,2286889,2310795,2495839
 "40000","Oklahoma",6,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",5480077,5620229,5944730,5945262,5610181,5579680,5696703,5899532,6386854,6610312,6847385,6028302,5976499,6541373,7151731,7393897,7849670,7763028,7276491,7500960,8497274
 "40000","Oklahoma",6,SAINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3719879,3838110,4081227,4077722,3790055,3743334,3846085,3995638,4438866,4664745,4904780,4153984,4057323,4533967,5115786,5319849,5675781,5531624,5004636,5173064,6063944
 "40000","Oklahoma",6,SAINC7N,511,"321","     Wood product manufacturing","Thousands of dollars",100929,109334,117448,129964,134945,138969,140048,145928,142863,139013,122533,93807,80269,78759,79762,81695,88932,98345,103180,104036,74839
 "40000","Oklahoma",6,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",281281,292625,312746,304645,300661,314155,332073,342236,364359,370095,378863,333819,322224,313647,326034,340549,358936,392507,395559,402896,403522
 "40000","Oklahoma",6,SAINC7N,513,"331","     Primary metal manufacturing","Thousands of dollars",141877,131904,158628,156759,126169,141593,165372,184106,210042,214136,236119,181407,178299,209173,226836,226243,207260,192044,183511,201268,207097
