GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45000","South Carolina",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",49200667,52302192,55252238,56519421,57693395,59693464,62832932,65939349,70159090,73797913,75235600,72109546,73323840,75894639,79010444,81454801,85484329,90499335,94319137,99066244,103149794
 "45000","South Carolina",5,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",119397,108562,116889,150513,142332,117225,153965,135696,139687,155226,140593,141784,145700,124660,188216,147989,142440,172561,141467,118250,128066
 "45000","South Carolina",5,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",49081270,52193630,55135349,56368908,57551063,59576239,62678967,65803653,70019403,73642687,75095007,71967762,73178140,75769979,78822228,81306812,85341889,90326774,94177670,98947994,103021728
 "45000","South Carolina",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",39470999,41885691,44055238,44975837,45580108,47098614,49610739,52021281,55590670,58246057,58651575,55048545,56353399,58928117,61583496,63644308,67283829,71530651,74960439,79189559,82685263
 "45000","South Carolina",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",167539,170676,182448,194112,186640,192914,196456,199244,209305,208617,206686,197914,216837,216652,222099,232527,248384,263481,273993,290524,300565
 "45000","South Carolina",5,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",106797,104295,106920,113207,114295,117443,119895,118453,119516,122107,117113,110987,119388,116151,118713,120472,131596,138915,141231,149701,151064
 "45000","South Carolina",5,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),3875,3056,3510,1256,1270,1987,1719,1503,1305,1320,1656,1994,2206,2690,3265,4156,5396,4573
 "45000","South Carolina",5,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",57593,61427,68452,77030,69289,71961,75305,79521,87802,84791,88070,85622,96129,98845,101392,109849,114098,121301,128606,135427,144928
 "45000","South Carolina",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",73594,78831,74108,65748,65779,65559,67913,69119,70229,69592,68270,57642,59792,62501,63634,63069,66736,85825,97379,111857,118906
 "45000","South Carolina",5,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),174,(D),(D),(D),(D),(D),455,(D),570,658,(D),(D)
 "45000","South Carolina",5,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",71263,74919,67571,64422,64431,64345,66675,67838,68183,67574,66339,55648,56821,57889,58173,58060,59925,69306,88896,99630,106540
 "45000","South Carolina",5,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),1844,(D),(D),(D),(D),(D),4554,(D),15949,7825,(D),(D)
 "45000","South Carolina",5,SAINC7N,300,"22","   Utilities","Thousands of dollars",630087,626889,661104,691164,686477,725275,768562,769732,852099,828539,899746,919160,945041,959073,987177,1035380,1079959,1140901,1176247,1208199,1132196
 "45000","South Carolina",5,SAINC7N,400,"23","   Construction","Thousands of dollars",3153662,3399891,3550143,3685845,3707123,3873967,4075091,4359241,4983737,5113474,4667153,3735276,3456243,3382010,3561378,3725509,3999211,4358574,4948630,5644007,5734390
 "45000","South Carolina",5,SAINC7N,401,"236","    Construction of buildings","Thousands of dollars",1002357,1076433,1070981,1147913,1196555,1294296,1368478,1455139,1681956,1662587,1563206,1233738,1122763,1073243,1106852,1150705,1205288,1351618,1500728,1644939,1698567
 "45000","South Carolina",5,SAINC7N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",460893,512817,579918,580841,604101,608177,663202,688529,736377,767673,668580,552738,528705,519383,581848,577222,630459,682673,825835,1123817,969911
 "45000","South Carolina",5,SAINC7N,403,"238","    Specialty trade contractors","Thousands of dollars",1690412,1810641,1899244,1957091,1906467,1971494,2043411,2215573,2565404,2683214,2435367,1948800,1804775,1789384,1872678,1997582,2163464,2324283,2622067,2875251,3065912
 "45000","South Carolina",5,SAINC7N,500,"31-33","   Manufacturing","Thousands of dollars",11108090,11353901,11844091,11483394,11161595,11185520,11121576,11239929,11494309,11612344,11636685,10471759,10661982,11435123,11966023,12370521,13144908,13812489,14189466,14662739,15367015
