Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,Afghan,African,American (New),American (Traditional),Arabian,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Barbeque,Basque,Belgian,Brasseries,Brazilian,Breakfast & Brunch,British,Buffets,Burgers,Burmese,Cafes,Cafeteria,Cajun/Creole,Cambodian,Caribbean,Catalan,Cheesesteaks,Chicken Shop,Chicken Wings,Chinese,Comfort Food,Creperies,Cuban,Czech,Delis,Diners,Dinner Theater,Ethiopian,Fast Food,Filipino,Fish & Chips,Fondue,Food Court,Food Stands,French,Game Meat,Gastropubs,German,Gluten-Free,Greek,Guamanian,Halal,Hawaiian,Himalayan/Nepalese,Honduran,Hong Kong Style Cafe,Hot Dogs,Hot Pot,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Kebab,Korean,Kosher,Laotian,Latin American,Live/Raw Food,Malaysian,Mediterranean,Mexican,Middle Eastern,Modern European,Mongolian,Moroccan,New Mexican Cuisine,Nicaraguan,Noodles,Pakistani,Pan Asia,Persian/Iranian,Peruvian,Pizza,Polish,Polynesian,Pop-Up Restaurants,Portuguese,Poutineries,Russian,Salad,Sandwiches,Scandinavian,Scottish,Seafood,Singaporean,Slovakian,Soul Food,Soup,Southern,Spanish,Sri Lankan,Steakhouses,Supper Clubs,Sushi Bars,Syrian,Taiwanese,Tapas Bars,Tapas/Small Plates,Tex-Mex,Thai,Turkish,Ukrainian,Uzbek,Vegan,Vegetarian,Vietnamese,Waffles,Wraps,Total
AB,4.045454545,3.695652174,0,0,4.333333333,3.5,0,3.62298108,0,4.045454545,4.692307692,3.595620438,3.333333333,3.543478261,3.775423729,3.86196319,3.769919543,3.356275304,3.661818182,3.415067079,0,3.763100437,0,3.577777778,0,3.86627907,0,0,3.715346535,3.24026512,3.514439049,3.336484983,3.537254902,0,0,3.8823094,3.629800307,4.103448276,4.091743119,3.212814645,3.6,3.222826087,3.6875,3.716216216,3.651162791,4.002673797,0,3.349192863,3.635193133,3.801086219,3.763888889,0,3.736986301,3.937007874,4.52851711,0,0,3.642857143,3.216981132,4.459459459,0,3.796834902,4.15625,2.977142857,3.609491875,3.679814385,4.219512195,3.688284519,0,0,4.08662614,3.986486486,3.847133758,3.85423588,3.578398863,3.868460389,3.438356164,3.138461538,3.504672897,0,0,3.763020833,3.680354267,3.795918367,3.932885906,4.429906542,3.546119536,3.142857143,0,0,3.468571429,3.24120603,0,3.530007794,3.674993995,4.20661157,4.181818182,3.593979699,4.150684932,0,3.611872146,3.760368664,3.891428571,3.811170213,4.480519481,3.595806218,0,3.618759853,0,3.66,3.618683901,3.819085487,3.145363409,3.666838577,3.891304348,3.352941176,0,3.982084691,3.994949495,3.727543424,3.611111111,5,355.6796249
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666666667
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AZ,4.015197568,3.731854839,0,0,4.485263879,3.611764706,3.511450382,3.753719286,3.957317073,3.773972603,0,3.844525319,3.512562814,3.717073171,4.07518797,4.141991342,3.901940228,4.065706052,3.575796124,3.574924034,4.275862069,3.998725187,3.735191638,3.841660406,4.432865731,3.990763547,0,3.690117253,3.188109866,3.327006104,3.595298333,3.858596513,4.232796486,4.224969843,4.004524887,3.766324781,3.652163311,4.173076923,4.18559322,3.137656985,3.809260539,3.897449959,3.906146728,3.371786834,4.121099554,3.902291283,0,3.905634866,3.84701642,3.911367424,4.050153741,0,4.082877248,4.033581814,0,4.111111111,0,3.939119653,3.769115442,3.642105263,0,3.888273596,3.65625,3.644193762,3.864127249,3.785517116,3.715282624,3.819858365,4.093518519,3.98540146,4.029086291,4.125883109,3.844527363,4.043701264,3.711007362,4.096570135,4.075715087,3.79380531,4.456790123,4.02053094,0,3.957089882,3.800531915,3.736263736,4.097826087,4.149954833,3.771591929,4.179859989,0,0,0,3.672131148,4.254385965,3.895070299,3.866359811,4.12111293,0,3.875912257,3.876865672,0,3.762717612,3.764481301,3.740154015,3.624133148,0,3.695699696,0,3.805770012,0,3.90086741,3.882480315,3.959076175,3.512344798,3.952608721,3.904261206,4.493273543,3.85106383,4.074289959,4.00036418,3.980323439,3.808695652,4.225833614,404.7051031
BAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666666667
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
